FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	C_LEU	C_LACZ	C_SUM	MATRIX	IST	MATRIX_DETECTIONS	ISTS_RFCS	DATA_VERSION	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0038902	FBgn0026238	12	12	43	46	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	2	4	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	gus	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0027572	12	12	14	15	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG5009	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0028509	12	12	37	40	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	cenG1A	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0032192	12	12	37	37	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG5731	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0032196	12	12	29	29	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG5708	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0034651	12	12	57	61	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG15676	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0035162	12	12	25	25	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG13900	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0035641	12	12	43	43	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG5568	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0038385	12	12	4	4	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG4221	pp	MI:0727 (yeast two-hybrid)
FBgn0038902	FBgn0039970	12	12	28	28	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	CG6800	CG17508	pp	MI:0727 (yeast two-hybrid)
FBgn0038947	FBgn0035978	2	2	4	9	Test of combined evidence predictions (JY) 9_2006	19079254	02-JUL-08	0	4	4	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	sar1	UGP	pp	MI:0727 (yeast two-hybrid)
FBgn0038976	FBgn0010741	3	6	4	4	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	3	3	6	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG7048	l(3)01239	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0000044	18	19	2	2	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	Act57B	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0000166	18	19	29	29	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	bcd	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0003479	18	19	39	54	Finley lab: Cell cycle baits	15575970	14-JUN-04	0	5	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	spn-A	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0010602	18	19	62	66	Finley lab: Cell cycle baits	15575970	14-JUN-04	3	5	8	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	lwr	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0023091	18	19	21	24	Finley lab: Cell cycle baits	15575970	14-JUN-04	3	1	4	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	dimm	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0023526	18	19	14	16	Finley lab: Cell cycle baits	15575970	14-JUN-04	1	0	1	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG2865	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0025674	18	19	55	81	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	3	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CycK	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0026602	18	19	2	2	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	2	4	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	Ady43A	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0028509	18	19	37	40	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	cenG1A	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0030459	18	19	21	21	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG12723	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0030882	18	19	1	1	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	2	4	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	GS	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0031894	18	19	10	10	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG4496	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0031957	18	19	71	71	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	0	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	TwdlE	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0035021	18	19	25	25	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	3	5	No	Yes	0	4	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	CG4622	pp	MI:0727 (yeast two-hybrid)
FBgn0039044	FBgn0035357	18	19	8	9	Finley lab: Cell cycle baits	15575970	14-JUN-04	2	3	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15575970&dopt=DocSum	p53	MEP-1	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0030753	11	17	8	8	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	1	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	rngo	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0031057	11	17	5	5	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	4	5	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	Ubqn	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0032725	11	17	2	6	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	2	3	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	Nedd8	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0035443	11	17	18	18	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	1	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	CG12010	pp	MI:0727 (yeast two-hybrid)
FBgn0039147	FBgn0038166	11	17	4	4	Test of conservation-based predictions from Sharan 2005 PMID:15687504	19079254	02-JUL-08	1	1	2	Yes	No	1	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19079254&dopt=DocSum	CG10694	CG9588	pp	MI:0727 (yeast two-hybrid)
FBgn0039180	FBgn0264815	1	1	1	1	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	2	5	No	Yes	0	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG5715	Pde1c	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0005585	7	8	1	1	Library screen IST01256	18840285	02-JUL-08	1	2	3	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	Crc	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0026176	7	8	7	45	Library screen IST01256	18840285	02-JUL-08	0	2	2	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	skpB	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0028407	7	8	1	2	Library screen IST01256	18840285	02-JUL-08	0	2	2	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	Drep-3	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0033723	7	8	3	4	Library screen IST01256	18840285	02-JUL-08	1	2	3	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	CG13155	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0036298	7	8	3	3	Library screen IST01256	18840285	02-JUL-08	0	3	3	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	nst	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0037632	7	8	2	4	Library screen IST01256	18840285	02-JUL-08	1	2	3	Yes	Yes	1	1	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	Tcp-1?	pp	MI:0727 (yeast two-hybrid)
FBgn0039349	FBgn0039859	7	8	1	1	Library screen IST01256	18840285	02-JUL-08	0	2	2	Yes	Yes	1	3	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=18840285&dopt=DocSum	Ssadh	CG11539	pp	MI:0727 (yeast two-hybrid)
FBgn0039395	FBgn0000166	62	66	29	29	Finley Lab: Random baits 2425	14613974	17-NOV-03	3	3	6	Yes	No	2	0	2013_02	04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=14613974&dopt=DocSum	CG14546	bcd	pp	MI:0727 (yeast two-hybrid)
