FLY_GENE1	FLY_GENE2	PMID_METHOD	INTERACTION_PUBMEDS	PUBMEDURL	INTERACTION_DETECT_METHODS	INTERACTION_SOURCE	DATE_LAST_UPDATED	DATA_VERSION	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	DATA_SOURCE_URL
FBgn0013717	FBgn0031281	20008933(MI:0004(affinity chromatography technology))	20008933	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=20008933&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	not	Saf6	pp	
FBgn0001139	FBgn0004110	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	gro	tin	pp	
FBgn0005655	FBgn0010316	9705499(MI:0018(2 hybrid),MI:0004(affinity chromatography technology),MI:0686(unspecified method))	9705499	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=9705499&dopt=DocSum		BIND-24-JAN-13	04-FEB-13	2013_02	mus209	dap	pp	
FBgn0037018	FBgn0053113	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	CG4042	Rtnl1	pp	
FBgn0004837	FBgn0015805	19782028(MI:0004(affinity chromatography technology))	19782028	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19782028&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Su(H)	Rpd3	pp	
FBgn0003429	FBgn0004907	10230800(MI:0096(pull down),MI:0006(anti bait coimmunoprecipitation))	10230800	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=10230800&dopt=DocSum		BioGRID-24-JAN-13,IntAct-24-JAN-13	04-FEB-13	2013_02	slo	14-3-3?	pp	
FBgn0000711	FBgn0005536	21447707(MI:0963(interactome parallel affinity capture))	21447707	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=21447707&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	flw	Mbs	pp	
FBgn0003256	FBgn0040505	unassigned4(MI:0045(experimental interaction detection))	unassigned4	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=unassigned4&dopt=DocSum		IntAct-24-JAN-13	04-FEB-13	2013_02	rl	Alk	pp	
FBgn0011715	FBgn0015799	12093739(MI:0004(affinity chromatography technology))	12093739	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=12093739&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Snr1	Rbf	pp	
FBgn0051716	FBgn0265297	19797087(MI:0004(affinity chromatography technology))	19797087	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=19797087&dopt=DocSum		BioGRID-24-JAN-13	04-FEB-13	2013_02	Cnot4	pAbp	pp	
