FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	IST	ISTS_RFCS	DATA_VERSION	PMID	URL_PUBMED	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	PBSSCORE	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0001319	FBgn0003977	41	41	2	2	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	vir	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0004179	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Csp	A	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0004556	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Dbp73D	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0010328	41	41	10	10	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	woc	E	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0010355	41	41	15	15	embryo	PMID:15710747	10-SEP-04	Yes	2	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Taf1	E	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0011224	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	heph	B	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0263108	41	41	56	56	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	BtbVII	E	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0013954	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	FK506-bp2	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0014931	41	41	2	2	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	CG2678	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0263865	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Smr	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0024510	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	dlt	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0025549	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	unc-119	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0026573	41	41	3	3	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	CG8290	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0003270	41	41	7	7	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	amos	E	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0027508	41	41	3	3	embryo	PMID:15710747	10-SEP-04	Yes	2	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	tankyrase	B	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0029865	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	CG15893	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0030049	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Trf4-1	D	pp	MI:0018 (yeast two-hybrid)
FBgn0001319	FBgn0032586	41	41	1	1	embryo	PMID:15710747	10-SEP-04	Yes	1	2013_02			04-FEB-13	http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=retrieve&db=pubmed&list_uids=15710747&dopt=DocSum	kn	Tpr2	D	pp	MI:0018 (yeast two-hybrid)
