ensembleID	dn	ds	dn/ds
ENSG00000180008	0.0655	0.5304	0.123491704374
ENSG00000124209	0.0122	0.4644	0.026270456503
ENSG00000064703	0.097	0.4833	0.200703496793
ENSG00000171408	0.0675	0.4919	0.137223012807
ENSG00000213523	0.0908	0.3978	0.228255404726
ENSG00000160161	0.1131	1.9957	0.0566718444656
ENSG00000111837	0.0918	0.6391	0.143639493037
ENSG00000110514	0.0258	0.4406	0.0585565138448
ENSG00000179314	0.0773	0.9544	0.0809932942163
ENSG00000086015	0.0676	0.428	0.157943925234
ENSG00000248920	0.4985	1.1218	0.444375111428
ENSG00000115808	0.0161	0.4409	0.0365162168292
ENSG00000112499	0.0835	0.6718	0.124292944329
ENSG00000168032	0.1156	0.4878	0.236982369824
ENSG00000167744	0.0432	0.7641	0.0565371024735
ENSG00000163728	0.0611	0.4513	0.135386660758
ENSG00000167741	0.2088	0.5494	0.380050964689
ENSG00000167740	0.1129	0.7365	0.153292600136
ENSG00000168038	0.1212	0.9039	0.134085628941
ENSG00000167749	0.2039	1.0106	0.201761329903
ENSG00000167748	0.3696	1.0839	0.340990866316
ENSG00000084674	0.1899	0.5272	0.360204855842
ENSG00000171401	0.0854	0.5549	0.153901603893
ENSG00000108784	0.0963	0.6855	0.140481400438
ENSG00000243772	0.4834	0.6755	0.715618060696
ENSG00000184465	0.2763	0.8276	0.333856935718
ENSG00000084676	0.0365	0.3425	0.106569343066
ENSG00000087494	0.0796	0.7588	0.104902477596
ENSG00000189299	0.3377	0.5857	0.576575038416
ENSG00000117791	0.1399	0.7803	0.17929001666
ENSG00000169740	0.0217	0.6208	0.0349548969072
ENSG00000169744	0.0109	0.3321	0.0328214393255
ENSG00000215642	0.1254	0.6634	0.18902622852
ENSG00000215644	0.1075	1.2998	0.0827050315433
ENSG00000178573	0.0257	0.4416	0.0581974637681
ENSG00000160828	0.263	0.7236	0.363460475401
ENSG00000168298	0.029	0.9049	0.0320477400818
ENSG00000112414	0.0993	0.5648	0.175814447592
ENSG00000059804	0.1052	0.7384	0.14247020585
ENSG00000153714	0.0419	0.616	0.0680194805195
ENSG00000251692	0.256	1.1884	0.215415684955
ENSG00000168291	0.0313	0.4852	0.0645094806265
ENSG00000120907	0.101	0.9361	0.107894455721
ENSG00000105879	0.0126	0.2435	0.0517453798768
ENSG00000120903	0.0768	0.8053	0.0953681857693
ENSG00000204220	0.0	0.6006	0.0
ENSG00000111832	0.0172	0.6469	0.0265883444118
ENSG00000105877	0.0864	0.5632	0.153409090909
ENSG00000105875	0.0387	0.5904	0.0655487804878
ENSG00000135074	0.097	0.5461	0.177623145944
ENSG00000185246	0.029	0.3375	0.0859259259259
ENSG00000135077	0.2466	0.5474	0.450493240775
ENSG00000131023	0.0343	0.5543	0.0618798484575
ENSG00000065600	0.0458	0.7527	0.0608476152518
ENSG00000057294	0.1124	0.7217	0.155743383677
ENSG00000116117	0.084	0.4576	0.183566433566
ENSG00000131759	0.1397	1.3669	0.102202063062
ENSG00000142279	0.09	0.8778	0.102529049897
ENSG00000146083	0.0399	0.429	0.093006993007
ENSG00000136250	0.1732	0.5899	0.293609086286
ENSG00000149792	0.091	0.6417	0.141810815023
ENSG00000149021	0.3064	0.8684	0.352832795947
ENSG00000146085	0.0252	0.5305	0.0475023562677
ENSG00000132591	0.13	0.4406	0.295052201543
ENSG00000184292	0.1109	1.3919	0.0796752640276
ENSG00000102471	0.086	0.4469	0.192436786753
ENSG00000074582	0.0328	0.3771	0.086979581013
ENSG00000149798	0.0594	0.6307	0.0941810686539
ENSG00000177700	0.0	1.2509	0.0
ENSG00000165997	0.0	0.3924	0.0
ENSG00000183054	0.1079	0.5776	0.186807479224
ENSG00000189058	0.185	0.5811	0.318361727758
ENSG00000177706	0.0609	1.3255	0.0459449264429
ENSG00000177707	0.0334	0.3369	0.0991392104482
ENSG00000174514	0.0839	0.5746	0.146014618865
ENSG00000143157	0.0428	0.5382	0.0795243403939
ENSG00000249529	0.0175	0.5914	0.029590801488
ENSG00000205765	0.0603	0.524	0.115076335878
ENSG00000174516	0.0159	0.5503	0.0288933309104
ENSG00000187961	0.0091	1.0525	0.0086460807601
ENSG00000147689	0.0999	0.8214	0.121621621622
ENSG00000147687	0.0465	0.4899	0.0949173300674
ENSG00000147684	0.0802	0.4361	0.183902774593
ENSG00000187969	0.3187	1.1412	0.279267437785
ENSG00000188342	0.0111	0.4977	0.0223025919228
ENSG00000188343	0.0792	0.4687	0.168978024323
ENSG00000241737	0.7595	1.6606	0.457364807901
ENSG00000166831	0.0704	0.3871	0.181865151124
ENSG00000166833	0.014	0.8071	0.0173460537728
ENSG00000196176	0.0042	4.152	0.00101156069364
ENSG00000114520	0.0323	0.4627	0.0698076507456
ENSG00000188439	0.1955	0.6838	0.285902310617
ENSG00000145198	0.0953	0.4586	0.207806367205
ENSG00000186143	0.387	0.478	0.809623430962
ENSG00000164603	0.1161	0.574	0.202264808362
ENSG00000149243	0.0497	0.7964	0.062405826218
ENSG00000184702	0.0379	1.3797	0.0274697397985
ENSG00000184701	0.1112	0.5021	0.221469826728
ENSG00000169813	0.0088	0.4097	0.0214791310715
ENSG00000145191	0.0669	0.4326	0.154646324549
ENSG00000145192	0.2902	0.5575	0.520538116592
ENSG00000069956	0.0254	0.55	0.0461818181818
ENSG00000145194	0.0431	0.4797	0.0898478215551
ENSG00000184708	0.0513	0.3497	0.146697169002
ENSG00000169814	0.0904	0.6289	0.143743043409
ENSG00000163462	0.0102	0.4807	0.021219055544
ENSG00000214114	0.1174	0.3298	0.355973317162
ENSG00000214113	0.2678	0.5451	0.491286002568
ENSG00000084710	0.0115	0.6091	0.0188803152192
ENSG00000105298	0.0528	2.0366	0.0259255622115
ENSG00000163468	0.0137	0.4951	0.0276711775399
ENSG00000168036	0.0006	0.4516	0.00132860938884
ENSG00000048471	0.064	0.5925	0.108016877637
ENSG00000105290	0.0521	0.5343	0.0975107617443
ENSG00000162599	0.0522	0.3126	0.166986564299
ENSG00000179222	0.0612	0.3251	0.188249769302
ENSG00000109736	0.1615	0.8997	0.179504279204
ENSG00000116731	0.0849	0.6011	0.14124105806
ENSG00000109738	0.0137	0.6597	0.02076701531
ENSG00000058600	0.04	0.56	0.0714285714286
ENSG00000162591	0.1227	0.8933	0.137355871488
ENSG00000172289	0.0548	0.4456	0.122980251346
ENSG00000029363	0.0167	0.3596	0.0464404894327
ENSG00000162594	0.2008	0.5918	0.339303818858
ENSG00000169035	0.1676	0.8372	0.200191113235
ENSG00000118640	0.0655	0.8259	0.0793074222061
ENSG00000021461	0.2536	0.7712	0.328838174274
ENSG00000069329	0.003	0.407	0.00737100737101
ENSG00000178772	0.207	1.1006	0.188079229511
ENSG00000090776	0.0209	0.4723	0.0442515350413
ENSG00000115073	0.0047	0.674	0.00697329376855
ENSG00000155463	0.1688	0.5865	0.287809036658
ENSG00000082512	0.1613	0.7123	0.226449529693
ENSG00000124766	0.0642	1.4049	0.0456972026479
ENSG00000213853	0.1447	1.1617	0.124558836188
ENSG00000135960	0.0396	0.7439	0.0532329614195
ENSG00000162415	0.0199	0.3284	0.0605968331303
ENSG00000213585	0.0065	0.5192	0.0125192604006
ENSG00000138696	0.0082	0.558	0.0146953405018
ENSG00000138347	0.0653	0.5851	0.111604853871
